stmPedRampID,stmPedRampCrossingLinkID1,stmPedRampCrossingLinkID2,stmPedRampCrossingLinkID3,stmPedRampCrossingLinkID4,stmPedRampLongitudeVideoLinear,stmPedRampLatitudeVideoLinear,stmPedRampWidth,stmPedRampSlope,stmPedRampCrossSlope,stmPedRampGutterSlope,stmPedRampPassingWidth,stmPedRampPassingCrossSlope,stmPedRampFlareSlopeLeft,stmPedRampFlareSlopeRight,stmPedRampSmooth,stmPedRampFlushAtTop,stmPedRampFlushAtBottom,stmPedRampFlushAtStreet,stmPedRampWarningSurfacePresent,stmPedRampWarningSurfaceCondition,stmPedRampTransitionSlopeLeft,stmPedRampTransitionSlopeRight,stmPedRampLandingCrossSlope
211076531,1232309009,,,,-84.1496777,33.9497465,,,,,,,,,,,,,-999,,,,
211119987,1226026981,,,,-84.0237708,33.9654144,,,,,,,,,,,,,,,,,
211126300,1201573739,,,,-83.9920838,33.9432986,,,,,,,,,-999,,,,-999,,,,
211131221,1219637379,,,,-84.1450828,33.903586,,,,,,,,,,,,,,,,,
211138978,1229571784,,,,-84.1432472,33.9083847,,,,,,,,,,,,,,,,,
211144094,1231587354,,,,-84.2148844,33.9403108,,-999,,,,,,,,,,,,,,,
211150881,401638080,1215626958,,,-84.111206,33.978983,,,,-999,,,-999,-999,,,,,,,,,
211155802,1215870714,,,,-84.0955878,33.9652946,,,,,,,,,,,,,-999,,,,
211182599,1041550529,,,,-84.1417772,33.9627215,,,,,,,,,,,,,,,,,
211256434,1217862663,,,,-84.1343875,33.9655346,,,,,,,,-999,,,,,,,,,
211260938,1232578036,,,,-84.1837895,33.9615936,,,-999,,,,,,,,,,,,,,
211288385,1221886300,,,,-84.1753796,33.9275839,,,,,,,,,,,,,,,,,
211291427,1206019085,,,,-83.9958164,33.9384703,,,-999,,,,,,,,,,,,,,
211298291,401459392,,,,-84.0962273,33.9827444,,,,,,,-999,-999,,,,,,,,,
211299712,1250847224,,,,-84.1493368,33.956508,,,,,,,,,,,,,,,,,
211300741,634418502,,,,-83.9881663,33.9550475,,,-999,,,,,,-999,,,,,-999,,,
211320136,1227193457,,,,-84.0355089,33.9682071,,,,,,,-999,-999,,,,,,,,,
211326886,1220338545,,,,-84.2004334,33.970057,,,,,,,,,,,,,-999,,,,
211355475,1220419575,1221785195,,,-84.2262826,33.9619518,,,,,,,,,,,,,,,,,
211370177,1219571153,1219571155,,,-84.1495372,33.9725488,,,-999,,,,,,,,,,,,,,
211385072,1221861538,,,,-84.2160145,33.9691374,,,,,,,,,,,,,,,,,
211389154,1225088148,,,,-84.2023362,33.9462312,,,,,,,,,,,,,,,,,
211397079,1102726051,1102726052,,,-83.9998304,33.9175377,,,,,,,,,,,,,,,,,
211492206,1221886380,1232305345,,,-84.248097,33.9399465,,,,,,,-999,-999,,,,,,,,,
211509663,1221886309,,,,-84.1747883,33.9259476,,,,,,,,,,,,,-999,,,,
211522267,1221601953,,,,-84.1530574,33.8771763,,,,,,,,,-999,,,,,,,,
211602783,1222585240,,,,-83.9971707,33.9362517,,,,,,,,,,,,,,,,,
211616801,1215635462,,,,-84.0861042,33.9904578,,,,,,,,,,,,,-999,,,,
211660911,1216329293,1216329295,,,-84.207417,33.9114929,,,,,,,,,,,,,,,,,
211677197,640499181,,,,-84.2006716,33.904886,,,-999,,,,,,,,,,-999,,,,
211717883,1107965626,,,,-84.0104664,33.9251905,,,,,,,,,,,-999,,,,,,
211723761,1224862330,1224862331,,,-84.222873,33.9334856,,,,,,,,,,,,,,,,,
211780983,1215687220,,,,-84.1594293,33.8851427,,,,,,,,,,,,,-999,,,,
211835827,1219637388,,,,-84.1364731,33.901718,,,,-999,,,,,,,,,-999,,,,
211856074,1224628198,1224628199,,,-84.2080751,33.9126713,,,,,,,,,,,,,,,,,
211903890,1131422435,,,,-83.9857134,33.9765746,,,,,,,,,,,,,,,,,
211920251,1220161997,,,,-84.1104143,33.9580572,,,,,,,,,,,,,,-999,,,
211964623,1218898621,1225774847,,,-84.1137938,33.9112584,,,,,,,,,,,,,,,,,
211977165,1230755621,,,,-84.1724436,33.8742814,,,,,,,,,,,,,,,,,
211978117,1217436913,1217436917,,,-84.1242309,33.9635165,,,,,,,,,,,,,,,,,
211989600,1219092631,,,,-84.1269805,33.9426705,,,,,,,,,,,,,-999,,,,
211996098,1022330926,1022330928,,,-84.2391477,33.9652889,,,,-999,,,,,,,-999,,-999,,,,
212039218,1228973750,,,,-84.1577749,33.8809602,,,,,,,,,,,,,,,,,
212080918,1221816464,,,,-84.1327226,33.9537313,,,,,,,,,,,,,,,,,
212090128,1226027024,,,,-84.0068603,33.9627125,,,,,,,,,,,,,,,,,
212090749,1226023538,,,,-84.1391519,33.9639291,,,,,,,-999,-999,,,,,,,,,
212108865,1201723676,,,,-83.997075,33.9530209,,,,,,,,,,,,,,,,,
212123677,1221866272,,,,-84.1479008,33.9604798,,,,,,,,,,,,,,,,,
212127311,1221874611,,,,-84.2248248,33.9704423,,,,,,,,,,,,-999,,,,,
212153704,640599516,,,,-84.139826,33.8961884,,,,,,,,,,,,,,,,,
212166846,1219637364,,,,-84.148848,33.8980876,,,,,,,,,,,,,,,,,
212169441,1227929163,,,,-83.9855621,33.9801084,,,,,,,,,,,,,,,,,
212176868,1226026909,,,,-84.0328954,33.9685559,,,,,,,,,,,,-999,,,,,
212202996,1250984646,,,,-84.2206487,33.9364792,,,,,,,,,,,,,,,,,
212206289,783717509,,,,-83.9898521,33.9502532,,,-999,,,-999,,,,,,,,,,,-999
212212034,1219010836,1219010837,,,-84.135908,33.9462199,,,,,-999,,,,,,,,-999,,,,
212215446,723003792,,,,-84.0904046,33.9867268,,,,,,,,,,,,,,,,,
212250641,1215635462,,,,-84.0860113,33.9905772,,,,,,,,,,,,,,,,,
212267528,1219104171,,,,-84.1767675,33.9667533,,,,,,,,,,,,,,,,,
212279657,643865712,,,,-84.2109288,33.9676486,,,,,,,,,,,,,-999,,,,
212280572,634428884,,,,-83.9895734,33.9436918,,-999,-999,,-999,,,,,,,,-999,-999,,,
212292584,1220177494,,,,-84.2093215,33.9729028,,,,,,,-999,-999,,,,,,-999,,,
212319255,280810278,928769767,,,-84.2177474,33.9779382,,,,,,,,,,,,,,,,,
212324145,1220338564,,,,-84.1918006,33.9695237,,,,,,,,,,,,,,,,,
212355456,1225326664,,,,-84.0806577,33.9772081,,,,,,,,,,,,,,,,,
212378478,1228115770,,,,-84.2189224,33.9375163,,,,,,,,,,,,,,,,,
212380777,1218868864,1225806320,,,-84.1267981,33.9471772,,,,,,,,,,,,,,,,,
212406085,788014961,,,,-84.1721264,33.9227749,,,,,,,,,,,,,,,,,
212445447,1219098174,,,,-84.1590313,33.9357695,,,,,,,,,-999,,,,,-999,,,
212465394,1215625028,,,,-84.0999731,33.9780829,,,,,,,,,,,,,,,,,
212517605,1226026914,,,,-84.0272808,33.9689209,,,,,,,,,,,,,,-999,,,
212553762,1249395775,,,,-84.0901961,33.9907936,,,,,,,,,,,,,,,,,
212556491,1226026907,,,,-84.0299068,33.9687912,,,-999,,,,,,,,,,,,,,
212568064,1219098145,,,,-84.1597094,33.9369851,,,,,,,,,,,,,,,,,
212570493,783720558,,,,-83.9863236,33.9472282,,,,,,,,,,,,,,,,,
212646430,1215872732,1215872733,,,-84.1172286,33.9642408,,,,-999,,,,,,,,,-999,,,,
212661986,1227227168,,,,-83.9970633,33.9159239,,,,,,,,,,,,,-999,,,,
